Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Attrition,Department,JobRole,MaritalStatus,EngagementScore,LoyaltyScore,IncomePerLevel,Cluster,PCA1,PCA2
28,103,24,3,19,3,1,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,2.6666666666666665,0.14285714285204082,2027.9999979719998,1,0.07480634695305491,-1.020022906375889
29,1389,21,4,20,2,0,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,Research & Development,Manufacturing Director,Divorced,2.0,0.3448275861950059,3326.666665557778,0,-1.852057858754494,0.9829786040490475
32,334,5,2,21,1,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,2.3333333333333335,0.18749999999414066,3297.999996702,0,-0.9162489951752245,-0.5397522258656774
22,1123,16,2,22,4,1,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.3333333333333335,0.04545454545247934,2934.9999970649997,1,1.4513651407154342,-1.304536613433245
53,1219,2,4,23,1,0,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,Sales,Manager,Married,2.6666666666666665,0.47169811319864724,3856.7499990358124,3,0.9550736356072387,3.3661966503914176
38,371,2,3,24,4,1,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,Research & Development,Research Scientist,Single,3.6666666666666665,0.07894736841897508,3943.999996056,1,1.8472977064492653,-0.9384058854943639
24,673,11,2,26,1,0,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0,Research & Development,Manufacturing Director,Divorced,2.6666666666666665,0.1666666666597222,2005.4999989972498,1,0.09027584051155832,-0.7224839704230639
36,1218,9,4,27,3,1,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,Sales,Sales Representative,Single,2.0,0.13888888888503087,3406.9999965929997,2,-2.045524799754528,-0.6266140373740947
34,419,7,4,28,1,0,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,Research & Development,Research Director,Single,2.0,0.3529411764602077,3997.9999986673333,3,-1.1843636555729269,1.4719720098827853
21,391,15,2,30,3,1,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,Research & Development,Research Scientist,Single,3.6666666666666665,0.0,1231.9999987679998,1,1.8066004960272974,-1.6909536548553066
34,699,6,1,31,2,1,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1,Research & Development,Research Scientist,Single,2.0,0.11764705882006922,2959.99999704,0,-1.9459027645804623,-0.761588513987366
53,1282,5,3,32,3,0,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0,Research & Development,Manager,Divorced,3.3333333333333335,0.26415094339124245,3818.7999992362397,3,1.023143259833003,2.6613657168722664
32,1125,16,1,33,2,0,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1,Research & Development,Research Scientist,Single,1.6666666666666667,0.3124999999902344,3918.9999960809996,2,-2.3839968828425104,0.04193443978427604
42,691,8,4,35,3,1,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,3.0,0.21428571428061227,3412.4999982937497,0,-0.1191256529825248,0.3037181946649261
44,477,7,4,36,1,0,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,3.0,0.4999999999886364,3415.999998861333,3,1.2701653563081974,2.2278062876055236
46,705,2,4,38,2,0,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,Sales,Manager,Single,2.3333333333333335,0.04347826086862004,3789.39999924212,0,-1.4591803154017846,1.3910791140606946
33,924,2,3,39,3,1,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,3.6666666666666665,0.03030303030211203,2495.999997504,1,1.8229746129057554,-1.386088252691615
44,1459,10,4,40,4,1,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,4.0,0.0909090909070248,3232.4999983837497,1,2.248511886075393,-0.46061605835505764
30,125,9,2,41,4,1,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,2.6666666666666665,0.3333333333222222,2205.9999977939997,1,0.115276429315947,-0.30206264652869985
39,895,5,3,42,4,1,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1,Sales,Sales Representative,Married,3.6666666666666665,0.02564102564036818,1042.9999994785,1,1.8197761800469623,-1.4476066408613872
24,813,1,3,45,2,1,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,Research & Development,Research Scientist,Married,2.3333333333333335,0.0833333333298611,2292.9999977069997,1,0.3277680383305135,-1.2386108424485307
43,1273,2,2,46,4,0,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,3.6666666666666665,0.1162790697647377,2644.999997355,1,1.2112355877570902,-0.8592823730269488
50,869,3,2,47,1,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,Sales,Sales Representative,Married,2.3333333333333335,0.059999999998800006,2682.9999973169997,0,-0.301631679601057,-1.0212702924732522
35,890,2,3,49,4,0,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,Sales,Sales Representative,Married,3.0,0.057142857141224496,2013.999997986,1,1.0756598151072954,-1.3118372562977259
36,852,5,4,51,2,0,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,2.3333333333333335,0.027777777777006175,3418.999996581,0,-1.586828691543224,-1.0540260170142937
33,1141,1,3,52,3,0,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,1.6666666666666667,0.15151515151056016,2687.999998656,0,-2.2955759671403273,-0.26818949508957846
35,464,4,2,53,3,1,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.3333333333333335,0.028571428570612248,1950.999998049,1,1.443688901854331,-1.4521807450406983
27,1240,2,4,54,4,0,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.0,0.03703703703566529,2340.9999976589997,0,-0.8451699583132114,-1.2471382653699474
26,1357,25,3,55,1,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,2.3333333333333335,0.038461538460059175,2292.9999977069997,0,-0.3177012561577305,-1.310205209222652
27,994,8,3,56,4,1,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,3.6666666666666665,0.33333333332098763,2908.666665697111,1,1.284728137417904,0.513975206052248
30,721,1,2,57,3,0,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,3.6666666666666665,0.3999999999866667,2005.4999989972498,2,1.7968199293407754,0.06122125067904777
41,1360,12,3,58,2,0,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1,Research & Development,Research Director,Married,3.0,0.5365853658405711,3908.9999992181997,3,0.7037360595634935,3.6663875965750465
34,1065,23,4,60,2,1,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.6666666666666665,0.26470588234515574,2283.999998858,2,0.017566251096226646,-0.11016970927135239
37,408,19,2,61,2,1,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,1.6666666666666667,0.027027027026296568,3021.9999969779997,2,-1.8106609594295633,-1.1731485509867232
46,1211,5,4,62,1,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.6666666666666665,0.1956521739087902,2885.999998557,2,0.6659144343047956,0.02686994315126748
35,1229,8,1,63,4,1,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,4.0,0.028571428570612248,2268.999997731,1,2.1962379089157458,-1.4358303839207371
48,626,1,2,64,1,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,2.6666666666666665,0.020833333332899308,1793.6666660687777,1,0.08142253967396323,-0.8625486653717861
28,1434,5,4,65,3,1,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,3.0,0.07142857142602041,3440.9999965589996,1,0.44783620958527337,-1.0541089104894412
44,1488,1,5,68,2,0,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0,Sales,Sales Executive,Divorced,2.0,0.0909090909070248,2726.9999986365,2,-2.0360696210342946,-0.43468094385457634
35,1097,11,2,70,3,1,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,2.3333333333333335,0.11428571428244899,3294.6666655684444,0,-1.5168541188796711,0.261640071373857
26,1443,23,3,72,3,0,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,3.3333333333333335,0.07692307692011835,2078.49999896075,1,1.4674116132522597,-1.005973094935725
33,515,1,2,73,1,0,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,Research & Development,Research Director,Single,2.6666666666666665,0.4545454545316805,4485.999998504666,3,0.8745775327645614,1.9186712145097213
35,853,18,5,74,2,1,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,2.3333333333333335,0.2571428571355102,3022.999998992333,2,-1.6002667567883295,0.6680927994306232
35,1142,23,4,75,3,0,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,2.3333333333333335,0.057142857141224496,4013.9999959859997,0,-1.575673480963626,-0.8495406189617672
31,655,7,4,76,4,1,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,4.0,0.22580645160561916,2957.49999852125,2,2.1541393631283774,-0.2448188708252502
37,1115,1,4,77,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,Research & Development,Manufacturing Director,Divorced,2.3333333333333335,0.18918918918407598,2996.49999850175,0,-0.24975585543223172,-0.06378699051219926
32,427,1,3,78,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,Research & Development,Manufacturing Director,Married,2.3333333333333335,0.281249999991211,3080.9999984594997,2,0.2939227103825698,0.10106938479910392
38,653,29,5,79,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,4.0,0.2631578947299169,1202.9999993985,1,2.255928895212174,-0.3783958245452466
50,989,7,2,80,2,0,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,Research & Development,Research Director,Divorced,3.0,0.5399999999892,3747.9999992504,3,0.7300241217145639,4.121645056882217
59,1435,25,3,81,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.0,0.3559322033837978,2545.666665818111,3,-1.7986863259129429,1.8987193629855317
36,1223,8,3,83,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0,Research & Development,Healthcare Representative,Divorced,2.6666666666666665,0.472222222209105,3365.3333322115554,3,0.22242183605363078,1.688252203088746
55,836,8,3,84,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,Research & Development,Manager,Divorced,3.3333333333333335,0.09090909090743803,3688.99999907775,1,0.930680038317577,0.9735927460304017
36,1195,11,3,85,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,Research & Development,Manufacturing Director,Single,2.3333333333333335,0.16666666666203706,3249.49999837525,0,-0.89127781570938,-0.059458663593869865
45,1339,7,3,86,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,2.0,0.022222222221728396,3241.333332252889,0,-1.9126771706855474,-0.09231129238059638
35,664,1,3,88,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,2.3333333333333335,0.08571428571183674,2193.999997806,0,-1.5833578200278935,-1.0074135317141188
36,318,9,3,90,4,1,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,Research & Development,Research Scientist,Married,2.6666666666666665,0.027777777777006175,3387.999996612,1,0.06587503555792829,-1.161588049816557
59,1225,1,1,91,1,0,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.6666666666666665,0.06779661016834243,2736.49999863175,1,0.10168098402266876,-0.5031184009006077
29,1328,2,3,94,3,1,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,3.0,0.17241379309750296,2702.999997297,2,-0.286958623925108,-0.8229058086005739
31,1082,1,4,95,3,1,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,Research & Development,Research Scientist,Single,2.3333333333333335,0.03225806451508845,2500.9999974989996,0,-0.9550343486428469,-1.2353815345825438
32,548,1,3,96,2,1,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,2.0,0.3124999999902344,3109.999998445,0,-1.242434116304579,0.3751956250698392
36,132,6,3,97,2,0,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,2.6666666666666665,0.027777777777006175,3037.999996962,1,0.7021003781260967,-1.2577180930422935
31,746,8,4,98,3,0,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,Research & Development,Manufacturing Director,Single,3.6666666666666665,0.3548387096659729,2211.999998894,2,1.793528182960356,0.00798106061464429
35,776,1,4,100,3,1,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.0,0.42857142855918373,2155.999998922,0,-1.863706330731009,0.7085679627230417
