Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Attrition,Department,JobRole,MaritalStatus,EngagementScore,LoyaltyScore,IncomePerLevel
34,699,6,1,31,2,1,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1,Research & Development,Research Scientist,Single,2.0,0.11764705882006922,2959.99999704
53,1282,5,3,32,3,0,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0,Research & Development,Manager,Divorced,3.3333333333333335,0.26415094339124245,3818.7999992362397
32,1125,16,1,33,2,0,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1,Research & Development,Research Scientist,Single,1.6666666666666667,0.3124999999902344,3918.9999960809996
42,691,8,4,35,3,1,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,3.0,0.21428571428061227,3412.4999982937497
44,477,7,4,36,1,0,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,3.0,0.4999999999886364,3415.999998861333
46,705,2,4,38,2,0,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,Sales,Manager,Single,2.3333333333333335,0.04347826086862004,3789.39999924212
33,924,2,3,39,3,1,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,3.6666666666666665,0.03030303030211203,2495.999997504
44,1459,10,4,40,4,1,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,4.0,0.0909090909070248,3232.4999983837497
30,125,9,2,41,4,1,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,2.6666666666666665,0.3333333333222222,2205.9999977939997
39,895,5,3,42,4,1,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1,Sales,Sales Representative,Married,3.6666666666666665,0.02564102564036818,1042.9999994785
24,813,1,3,45,2,1,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,Research & Development,Research Scientist,Married,2.3333333333333335,0.0833333333298611,2292.9999977069997
43,1273,2,2,46,4,0,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,3.6666666666666665,0.1162790697647377,2644.999997355
50,869,3,2,47,1,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,Sales,Sales Representative,Married,2.3333333333333335,0.059999999998800006,2682.9999973169997
35,890,2,3,49,4,0,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,Sales,Sales Representative,Married,3.0,0.057142857141224496,2013.999997986
36,852,5,4,51,2,0,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,2.3333333333333335,0.027777777777006175,3418.999996581
33,1141,1,3,52,3,0,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,1.6666666666666667,0.15151515151056016,2687.999998656
35,464,4,2,53,3,1,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.3333333333333335,0.028571428570612248,1950.999998049
27,1240,2,4,54,4,0,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.0,0.03703703703566529,2340.9999976589997
26,1357,25,3,55,1,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,2.3333333333333335,0.038461538460059175,2292.9999977069997
27,994,8,3,56,4,1,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,3.6666666666666665,0.33333333332098763,2908.666665697111
30,721,1,2,57,3,0,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,3.6666666666666665,0.3999999999866667,2005.4999989972498
41,1360,12,3,58,2,0,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1,Research & Development,Research Director,Married,3.0,0.5365853658405711,3908.9999992181997
34,1065,23,4,60,2,1,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.6666666666666665,0.26470588234515574,2283.999998858
37,408,19,2,61,2,1,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,1.6666666666666667,0.027027027026296568,3021.9999969779997
46,1211,5,4,62,1,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.6666666666666665,0.1956521739087902,2885.999998557
35,1229,8,1,63,4,1,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,4.0,0.028571428570612248,2268.999997731
48,626,1,2,64,1,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,2.6666666666666665,0.020833333332899308,1793.6666660687777
28,1434,5,4,65,3,1,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,3.0,0.07142857142602041,3440.9999965589996
44,1488,1,5,68,2,0,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0,Sales,Sales Executive,Divorced,2.0,0.0909090909070248,2726.9999986365
35,1097,11,2,70,3,1,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,2.3333333333333335,0.11428571428244899,3294.6666655684444
26,1443,23,3,72,3,0,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,3.3333333333333335,0.07692307692011835,2078.49999896075
33,515,1,2,73,1,0,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,Research & Development,Research Director,Single,2.6666666666666665,0.4545454545316805,4485.999998504666
35,853,18,5,74,2,1,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,2.3333333333333335,0.2571428571355102,3022.999998992333
35,1142,23,4,75,3,0,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,2.3333333333333335,0.057142857141224496,4013.9999959859997
31,655,7,4,76,4,1,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,4.0,0.22580645160561916,2957.49999852125
37,1115,1,4,77,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,Research & Development,Manufacturing Director,Divorced,2.3333333333333335,0.18918918918407598,2996.49999850175
32,427,1,3,78,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,Research & Development,Manufacturing Director,Married,2.3333333333333335,0.281249999991211,3080.9999984594997
38,653,29,5,79,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,4.0,0.2631578947299169,1202.9999993985
50,989,7,2,80,2,0,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,Research & Development,Research Director,Divorced,3.0,0.5399999999892,3747.9999992504
59,1435,25,3,81,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.0,0.3559322033837978,2545.666665818111
36,1223,8,3,83,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0,Research & Development,Healthcare Representative,Divorced,2.6666666666666665,0.472222222209105,3365.3333322115554
55,836,8,3,84,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,Research & Development,Manager,Divorced,3.3333333333333335,0.09090909090743803,3688.99999907775
36,1195,11,3,85,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,Research & Development,Manufacturing Director,Single,2.3333333333333335,0.16666666666203706,3249.49999837525
45,1339,7,3,86,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,2.0,0.022222222221728396,3241.333332252889
35,664,1,3,88,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,2.3333333333333335,0.08571428571183674,2193.999997806
36,318,9,3,90,4,1,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,Research & Development,Research Scientist,Married,2.6666666666666665,0.027777777777006175,3387.999996612
59,1225,1,1,91,1,0,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.6666666666666665,0.06779661016834243,2736.49999863175
29,1328,2,3,94,3,1,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,3.0,0.17241379309750296,2702.999997297
31,1082,1,4,95,3,1,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,Research & Development,Research Scientist,Single,2.3333333333333335,0.03225806451508845,2500.9999974989996
32,548,1,3,96,2,1,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,2.0,0.3124999999902344,3109.999998445
36,132,6,3,97,2,0,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,2.6666666666666665,0.027777777777006175,3037.999996962
31,746,8,4,98,3,0,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,Research & Development,Manufacturing Director,Single,3.6666666666666665,0.3548387096659729,2211.999998894
35,776,1,4,100,3,1,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,Sales,Sales Executive,Single,2.0,0.42857142855918373,2155.999998922
45,193,6,4,101,4,1,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0,Research & Development,Research Director,Married,2.3333333333333335,0.0,4414.999998528333
37,397,7,4,102,1,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,Research & Development,Research Director,Single,1.6666666666666667,0.13513513513148284,4554.666665148445
46,945,5,2,103,2,1,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,Human Resources,Human Resources,Divorced,2.6666666666666665,0.08695652173724008,2510.49999874475
30,852,1,1,104,4,1,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,3.6666666666666665,0.3333333333222222,2562.9999987184997
35,1214,1,3,105,2,1,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,Research & Development,Research Scientist,Single,2.0,0.1714285714236735,2858.9999971409998
55,111,1,2,106,1,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,Sales,Sales Executive,Married,3.0,0.018181818181487605,3412.999998862333
38,573,6,3,107,2,0,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,3.3333333333333335,0.342105263148892,2664.49999866775
34,1153,1,2,110,1,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,Research & Development,Manufacturing Director,Married,2.0,0.1470588235250865,2162.49999891875
56,1400,7,3,112,4,1,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,Research & Development,Manufacturing Director,Single,3.0,0.10714285714094389,2419.999999193333
23,541,2,1,113,3,1,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0,Sales,Sales Representative,Divorced,2.3333333333333335,0.0,2321.999997678
51,432,9,4,116,4,1,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,3.3333333333333335,0.07843137254748174,2074.9999979249997
